street_name,link,link_id,functional_class,direction_of_travel,start_node_identifier,end_node_identifier,geometry_wkt,mapmatcher_catalog_hrn,mapmatcher_catalog_version,NW
A87,82422938,82422938,3,BOTH,here:cm:node:1047656388,here:cm:node:18339618,"LINESTRING (-4.80142 57.06886, -4.8011 57.06892, -4.80094 57.06894, -4.80078 57.06894)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,190834556,190834556,3,BOTH,here:cm:node:18339595,here:cm:node:18339581,"LINESTRING (-4.80678 57.06875, -4.80779 57.06918, -4.80826 57.06938, -4.80863 57.06955, -4.80891 57.06967, -4.80918 57.06976, -4.80945 57.06984, -4.80972 57.0699, -4.80999 57.06994, -4.81033 57.06997, -4.8106 57.06998)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,99880978,99880978,3,BOTH,here:cm:node:18339600,here:cm:node:858468274,"LINESTRING (-4.80428 57.06831, -4.80395 57.06833, -4.80334 57.06841, -4.80284 57.06852)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,484235397,484235397,3,BOTH,here:cm:node:858468274,here:cm:node:1047656388,"LINESTRING (-4.80284 57.06852, -4.80281 57.06853, -4.80245 57.06862, -4.80235 57.06865, -4.802 57.06874, -4.80156 57.06883, -4.80142 57.06886)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,165480838,165480838,3,BOTH,here:cm:node:1047656385,here:cm:node:18339657,"LINESTRING (-4.79516 57.0694, -4.79459 57.06948, -4.79347 57.0697, -4.79314 57.06977, -4.79298 57.0698, -4.79289 57.06982, -4.7928 57.06983, -4.79272 57.06983, -4.79249 57.06981)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,81545543,81545543,3,BOTH,here:cm:node:18339600,here:cm:node:18339595,"LINESTRING (-4.80428 57.06831, -4.8046 57.0683, -4.805 57.06832, -4.80538 57.06836, -4.80572 57.06842, -4.80613 57.06852, -4.80647 57.06863, -4.80678 57.06875)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,165424464,165424464,3,BOTH,here:cm:node:18339618,here:cm:node:1047656385,"LINESTRING (-4.80078 57.06894, -4.80031 57.06898, -4.79942 57.06903, -4.79905 57.06905, -4.79809 57.06911, -4.79711 57.0692, -4.79607 57.06929, -4.79516 57.0694)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,156491761,156491761,3,BOTH,here:cm:node:18339362,here:cm:node:18339428,"LINESTRING (-4.83781 57.07524, -4.83717 57.07517, -4.8366 57.07509, -4.83624 57.07502, -4.83588 57.07493, -4.83554 57.07481, -4.83528 57.07469, -4.83503 57.07453, -4.83471 57.07428, -4.83443 57.07404, -4.83407 57.0737, -4.83374 57.07335, -4.83366 57.07327)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,203971691,203971691,3,BOTH,here:cm:node:18339427,here:cm:node:18339415,"LINESTRING (-4.83354 57.07317, -4.83317 57.07284, -4.83291 57.07262, -4.83252 57.0723, -4.83205 57.07191, -4.83174 57.07161, -4.83157 57.07142, -4.83142 57.07123, -4.83131 57.07105, -4.83125 57.07088, -4.8312 57.07067, -4.83121 57.07047, -4.83128 57.07015)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
A87,79098965,79098965,3,BOTH,here:cm:node:18338810,here:cm:node:18338808,"LINESTRING (-4.88541 57.08172, -4.88607 57.08176, -4.88664 57.08178)",hrn:here:data::olp-here:here-optimized-map-for-location-library-2,2464,True
