level_0,index,Unnamed: 0,date,link_id,sub_link_id,forward_link_direction,roughness_state_estimate,roughness_state_variance,length_in_meter,sub_link_length,sub_link_geometry_wkt
227,655,655,2023-07-01,500752387,0,False,1.5239137,0.051470224,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
1408,3324,3324,2023-07-01,500752387,13,False,2.4089634,0.06423874,444.05218,24.66956555555556,"LINESTRING (-5.04692 56.84582, -5.04688 56.84593, -5.04686 56.84604)"
1410,3326,3326,2023-07-01,500752387,17,False,2.0699127,0.064541616,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
6907,15842,15842,2023-07-15,500752387,7,False,1.910106,0.058409918,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
13504,32764,32764,2023-07-15,500752387,17,False,2.085892,0.06047346,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
13507,32769,32769,2023-07-15,500752387,0,False,1.5228693,0.051329788,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
13513,32775,32775,2023-07-15,500752387,15,False,2.0578928,0.060529824,444.05218,24.66956555555556,"LINESTRING (-5.04681 56.84626, -5.04677 56.84648)"
13521,32783,32783,2023-07-15,500752387,16,False,1.931773,0.05547756,444.05218,24.66956555555556,"LINESTRING (-5.04677 56.84648, -5.04676 56.84653, -5.04673 56.8467)"
21023,50807,50807,2023-08-01,500752387,9,False,2.5677676,0.074470796,444.05218,24.66956555555556,"LINESTRING (-5.04748 56.84499, -5.0473 56.84519, -5.0473 56.84519)"
28066,68203,68203,2023-08-15,500752387,10,True,2.1856577,0.0604006,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
28708,69760,69760,2023-08-22,500752387,6,False,1.5624628,0.047787733,444.05218,24.66956555555556,"LINESTRING (-5.04805 56.8444, -5.04804 56.84441, -5.04786 56.8446)"
